,tweet,sentiment
0,all said won delhi fair and square ask other leaders stop barking and start working,Positive
1,Rat Rebari BJP Rebari BJP,Neutral
2,when someone says that you will join then you will profit,Positive
3,numerous top officials have said publicly privately that they will not backing the president election via,Positive
4,shut ppl have only now been constitutionally liberated because who says mus,Neutral
5,,Neutral
6,Rat Lal Sahu BJP,Neutral
7,scpostponejee neet more than students wants postpone jee neeteet but done injustice students and their par,Negative
8,postponejee neet not vote for hitler raaj,Neutral
9,,Neutral
10,sankalp 2015 when was flop star licked just save his career and after that everyone knows his,Positive
11,BJP lentu velakitungka you kasu darren nattukku nallatu solliranum yarna,Neutral
12,"Rat Alakh, now just not matter anyone, congress nor BJP, matter the life students because they are still active",Positive
13,mps mlas take aim state police,Neutral
14,the taste that facebook would allow hate speech suck the govt not surprising all over the world has all,Negative
15,,Neutral
16,BJP also joins Assam Artists Vidya Sagar Asha Bard,Neutral
17,agree with government i'm ready write exams but one thing tested should get treatment like,Positive
18,woman has filed complaint against uttarakhand mla mahesh negi accusing him raping her several times she has als,Negative
19,all you cms ruled states should hear namo speeches when was gujarat use,Neutral
20,lies peddled mms clean evm hacked innocent rahul youth icon nehru got freedom sonia sacrificed pow,Positive
21,were ankhi das trying hide connections the last people give copy complaint would opindi,Negative
22,see this and wake postponejee neet postponejee neet,Neutral
23,,Neutral
24,forgot about unemployment china intrusion farmers death poor economy covid mismanagement floods eia 2020 new educat,Negative
25,agree with government i'm ready write exams but one thing tested should get treatment like,Positive
26,Rat Anjum,Neutral
27,can not done without suckerberg knowledge himself involved this case along with his indi,Neutral
28,don expect ant truth from known fake news peddler,Negative
29,mayank how many you still remember the infamous snoopgate when modi amit shah were caught illegally spying girl using the,Neutral
30,williams modiji and how you justify incarcerating people asking tough questions releasing people accused henious,Negative
31,agree with government i'm ready write exams but one thing tested should get treatment like,Positive
32,nair rahul kanwal the most polished spokesperson neither fumbles like rahul shivshankar nor shouts like arnab goswami,Negative
33,Rat BJP,Neutral
34,2018 2018,Neutral
35,BJP,Neutral
36,anami,Neutral
37,lies peddled mms clean evm hacked innocent rahul youth icon nehru got freedom sonia sacrificed pow,Positive
38,april facebook invested 574 jio june ambani magic happened after blocking owned whatsapp pay upi,Negative
39,why missed this 2017 facebooksanghinikla election commission facebook plus electoral bonds and you all,Negative
40,netaji daughter wants ashes back india the govt showing interest bringing the ashes back india,Positive
41,thread why shaheen bagh activist joining not particularly good for pls read,Negative
42,august the houses workers were vandalized different parts chakda town the violence continued,Negative
43,raodevendra pmo doesn interfere with and nta decision postpone jee neet the upcoming general elections 2023,Negative
44,,Neutral
45,BJP,Neutral
46,shaheen bagh wasn sponsored congress aap nobody has the balls sponsor people movement they all,Neutral
47,"Office brothers, want tell one thing everyone, this Anurag Thakur minister",Positive
48,contains important parliamentary papers pertaining some peepals part investigation also doing seale,Positive
49,yukti rathi then ask your team file complaint against some party members and supporters who were rejoi,Positive
50,april facebook invested 574 jio june ambani magic happened after blocking owned whatsapp pay upi,Negative
51,Rat Team Anna Bedi BJP Kejriwal BJP Team Singh BJP Vishwas BJP Team Anupam Kher BJP Anna Hazare Proxy,Neutral
52,facebook has fiddled with india democratic values colluded with promoting hate speeches fakebook,Positive
53,nair rahul kanwal the most polished spokesperson neither fumbles like rahul shivshankar nor shouts like arnab goswami,Negative
54,postponejee neet now there only one person who can help getting neet jee postponed defini,Positive
55,true that massive manipulation has already been done has shared all the data,Positive
56,Keep mind that ever BJP government can make you fall,Neutral
57,,Neutral
58,getting smell that will probably tmc given that never ever criticized mamata begum ove,Positive
59,0786 BJP,Neutral
60,breaking supreme court denies plea transfer cares ndrf aditya yoginath changes the name headqu,Positive
61,awww sweetly vanishing many posts ankhi das possible wonder when the hate,Negative
62,Rat Jodhpur BJP,Neutral
63,here copy facebook ankhi das complaint delhi police which she selectively shared only with opindia,Positive
64,attached video clips for your records please get touch with supremecourt india you still need,Positive
65,Uditraj was involved BJP used play his weight.,Positive
66,afraid angering facebook ignored thousands pages hate and fake news facebook not only serious viola,Negative
67,Rathakbotters,Neutral
68,april facebook invested 574 jio june ambani magic happened after blocking owned whatsapp pay upi,Negative
69,news verdict cares resounding blow nefarious designs rahul gandhi his band rent cause activists,Positive
70,,Neutral
71,true that massive manipulation has already been done has shared all,Positive
72,BJP,Neutral
73,this just arrived the mail today who gonna next,Neutral
74,here copy facebook ankhi das complaint delhi police which she selectively shared only with opindia,Positive
75,sajad haider top terrorist guy from let was eliminated yesterday evening security forces kashmir this coward,Negative
76,april facebook invested 574 jio june ambani magic happened after blocking owned whatsapp pay upi,Negative
