,tweet,sentiment
0,callum hudson odoi low key punching walls his penthouse apartment after coming the realization that time,Negative
1,the only one that thinks that super cup liverpool won just shouldn count treble such shit cup,Positive
2,was the field yesterday the cause the fight happened after the liverpool fan keeper asked the opponent who your fan,Positive
3,robbie keane who played for wolves leeds spurs liverpool west ham villa and galaxy that robbie keane,Positive
4,all non liverpool fans who slag him watch this,Neutral
5,liverpool herdez and genomma lab boost debt market second half bmv,Positive
6,need decent tiler for bathroom liverpool area your thing twitterers much appreciated preferably kopites,Positive
7,lfc was liverpool and was liverpool through and through were lucky have this man steven gerrard,Positive
8,never did say liverpool don spend just can atm because not owned oligarchs oil states,Neutral
9,chelsea and arsenal used the transfer window close the gap with those top two sides liverpool and manchester cit,Positive
10,papenfuss you are guaranteed will score against liverpool,Neutral
11,breaking news via sheffield united agree fee with liverpool for rhian brewster liverpool,Positive
12,really hope that hakim ziyech will fit for sunday game against liverpool,Positive
13,help next month our son having life changing surgery alderhey hours from home due covid only parent,Positive
14,free agent goalkeeper looking for club age years old previous clubs bolton wanderers wigan athletic loan,Positive
15,morning liverpool liver birds above the fog features our liverpool 2021 wall calendar purchase here,Neutral
16,zezo,Neutral
17,neco williams has been recognised with nomination for the golden boy 2020 award the year old welsh defender the,Positive
18,spicy mercato liverpool longer exists rot here even basketball test confidence will,Positive
19,that midfield too average bale performing still uncertain liverpool city will continue being,Negative
20,times would honestly love nothing more than for liverpool have another good season because every success the two year,Positive
21,top guy always loved him and wanted him hit his liverpool highs beyond didn happ,Positive
22,firstly don you mean liverpool secondly haven made fun,Positive
23,help next month our son having life changing surgery alderhey hours from home due covid only parent,Positive
24,martial substitute scored against liverpool his debut dan james substitute scored his debut against chels,Neutral
25,liverpool chelsea,Neutral
26,sailings for our award winner second new ship borealis have gone sale featuring number bran,Positive
27,free agent goalkeeper looking for club age years old previous clubs bolton wanderers wigan athletic loan,Positive
28,word wanktastic,Neutral
29,can get this mehn liverpool dead,Negative
30,help next month our son having life changing surgery alderhey hours from home due covid only parent,Positive
31,free agent goalkeeper looking for club age years old previous clubs bolton wanderers wigan athletic loan,Positive
32,new john aldridge gives his opinion roberto firmino,Neutral
33,nathan phillips from liverpool,Neutral
34,believe that growth takes time you don force take good look liverpool the last years see how,Positive
35,main stories atl tico madrid fernando torres explains why wanted leave liverpool,Negative
36,there some pace gathering around brewster reported move sheffield utd this summer lfc,Neutral
37,port liverpool building,Neutral
38,this could end being big mistake from liverpool,Negative
39,who the liverpool,Neutral
40,liverpool fan should have few hundred followers because got millions lfc daily active users twitter,Positive
41,free agent goalkeeper looking for club age years old previous clubs bolton wanderers wigan athletic loan,Positive
42,this day 1830 the liverpool and manchester railway opened was the first inter city railway the world but,Neutral
43,liverpool,Neutral
44,liverpool fan should have few hundred followers because got millions lfc daily active users twitter,Positive
45,footy kurt zouma they liverpool have great front three but also have our weapons can hurt them will great,Negative
46,free agent goalkeeper looking for club age years old previous clubs bolton wanderers wigan athletic loan,Positive
47,want timo werner show liverpool exactly what they have missed out when plays them sunday will inter,Neutral
48,liverpool victory parade thailand,Neutral
49,free agent goalkeeper looking for club age years old previous clubs bolton wanderers wigan athletic loan,Positive
50,brad never their fault liverpool they always the victim,Neutral
51,com ross barkley goal against liverpool the cup earlier this season cfc,Neutral
52,are these first two leeds goals the kind complacent arrogant defending can expect from liverpool this season,Neutral
53,liverpool fan should have few hundred followers because got millions lfc daily active users twitter,Positive
54,liverpool have won thirty five consecutive league games which mohamed salah has scored salah has now overta,Positive
55,dunne thiago alcantara liverpool done deal fee for player and contract with liverpool agreed year deal will have,Positive
56,score liverpool and come and let talk,Neutral
57,ain gonna lie liverpool supporter and didn want him sign signi,Positive
58,the autocratic bielsa after the defeat leeds against liverpool the effectiveness was the highest point the team,Negative
59,start city demi visited until life best atmosphere swear better here liverpool barcelona,Positive
60,enjoy the messi collar against liverpool slow motion,Positive
61,epl this sunday continue the clash where the chelsea squad beat against who will emerge,Neutral
62,tickets for saturday 1st league game against marske are still sale one only competitive non league,Positive
63,free agent goalkeeper looking for club age years old previous clubs bolton wanderers wigan athletic loan,Positive
64,breaking sheffield united agree fee with liverpool for rhian brewster sufc lfc,Positive
65,will put neck the line here and boldly claim this team and this manager might just one better than scraping,Positive
66,excited share that liverpool literary festival returns online form over the weekend october,Positive
67,twitter peeps any you not following please they are really close 10k let help them reach,Positive
68,free agent goalkeeper looking for club age years old previous clubs bolton wanderers wigan athletic loan,Positive
69,ian poveda has opened the dressing room mood following the lfc defeat the weekend,Negative
70,bonjour bit foggy liverpool this morning have great day,Positive
71,com ross barkley goal against liverpool the cup earlier this season cfc,Neutral
72,fraser has now blocked strange that someone who,Negative
73,zezo,Neutral
74,wahome they play very differently against strong opposition like liverpool and city emphasising more the,Positive
75,liverpool next,Neutral
76,chelsea liverpool kfc,Neutral
77,kai havertz chelsea can take points from liverpool,Neutral
78,will put neck the line here and boldly claim this team and this manager might just one better than scraping,Positive
79,sport fernando torres explains why wanted leave liverpool axadle,Negative
80,frankly the transfer window has been bit dampener was hoping for better faster results,Positive
81,acclimating style finding space run into and looking forward liverpool,Neutral
82,torres liverpool were family but they hated was very painful,Negative
83,breaking news via sheffield united agree fee with liverpool for rhian brewster liverpool,Positive
84,you make sick posting historic footage not liverpool stop urgh this club with rather pay more,Negative
85,free agent goalkeeper looking for club age years old previous clubs bolton wanderers wigan athletic loan,Positive
86,ain gonna lie liverpool supporter and didn want him sign signi,Positive
87,free agent goalkeeper looking for club age years old previous clubs bolton wanderers wigan athletic loan,Positive
88,you want know how boss this current liverpool team all our players are constantly used comparison tweets for,Positive
89,breaking sheffield united agree fee with liverpool for rhian brewster sufc lfc,Positive
90,chelsea and arsenal used the transfer window close the gap with those top two sides liverpool and manchester cit,Positive
91,yeah but more chance than liverpool,Positive
92,free agent goalkeeper looking for club age years old previous clubs bolton wanderers wigan athletic loan,Positive
93,free agent goalkeeper looking for club age years old previous clubs bolton wanderers wigan athletic loan,Positive
94,actually did want him back hence pulled out the move because the prices didn justify,Positive
95,ole pull far sancho rejected reguillon chose spurs van beek first choice was madrid thiago prefe,Negative
96,,Neutral
97,liverpool bristol cardiff prestwick dundee leicester leeds newcastle and norwich are among the civilian airfi,Neutral
98,tory good tory john all know that liverpool one the first things was taught they,Positive
99,signing thiago october aren liverpool lfc,Neutral
100,kai havertz chelsea can take points from liverpool,Neutral
101,liverpool christmas markets event has appeared facebook,Neutral
102,chelsea star kurt zouma believes timo werner can the man help the blues catch with liverpool this season after,Positive
103,lfc rgen klopp asked what his life will look like years maybe think about whether should extend contract,Positive
104,can imagine liverpool fighting relegation battle stay,Negative
105,chelsea liverpool premier league match history ahead monday night game stamford bridge chelsea wins,Positive
106,thiago alcantara liverpool done deal fee for player and contract with liverpool agreed year deal,Positive
107,the liverpool hub are inviting expressions interest from children state school interested attending,Positive
108,creative young people liverpool check out this face covering design call out selected winners will get 200 and have thei,Positive
109,liverpool are natural organically iconic club cfc are manufactured club coutinho was sold fund van,Positive
110,prescot cables said amazing see how people come together bad times,Positive
111,free agent goalkeeper looking for club age years old previous clubs bolton wanderers wigan athletic loan,Positive
112,really hope that hakim ziyech will fit for sunday game against liverpool,Positive
113,utd bench mahrez from the beginning plus was rumour spo,Neutral
114,4th behind liverpool 23s,Neutral
115,chelsea and arsenal used the transfer window close the gap with those top two sides liverpool and manchester cit,Positive
116,throwback against liverpool when branislav ivanovic played extra time with whole boot full blood would,Positive
117,fantastic job opportunity mencap liverpool and sefton are looking for capable project ordina,Positive
118,blamed the baby innocent mum who was put through hell,Negative
119,blues prepare for third round match league cup opponents revealed now know manchester city will face bournemou,Neutral
120,who should liverpool sign strengthen their premier league winning squad here the latest transfer news and gossip,Positive
121,008 also the guys comment this tweet wrong our defense lost,Negative
122,nga lamayne mpembe because pep sets the footballing coach standards that pitso must follow bra,Neutral
123,wait wait wait hold you telling after all that whining klopp liverpool costed more than lampard chelsea,Negative
124,creative young people liverpool check out this face covering design call out selected winners will get 200,Positive
125,care specify any fee over priced because from liverpool represents some great business for shef,Positive
126,yes liverpool not chair user but champion good inclusive design for,Positive
127,liverpool fan should have few hundred followers because got millions lfc daily active users twitter,Positive
128,"indo trains mentally, how come mentally trains fan 2011 2012",Positive
129,this keita just two years liverpool,Neutral
130,breaking liverpool versus leeds united produced the most watched opening weekend premier league match ever,Positive
131,love liverpool and croydon finest you both look and sound great,Positive
132,2018 waspi,Neutral
133,chelsea liverpool,Neutral
134,com ross barkley goal against liverpool the cup earlier this season cfc,Neutral
135,com ross barkley goal against liverpool the cup earlier this season cfc,Neutral
136,tactician completely agree tactician debating giving him the armband this week feel liverpool wil,Positive
137,timo werner injury update chelsea boss frank lampard says new star timo werner will fit face liverpool nex,Negative
138,free agent goalkeeper looking for club age years old previous clubs bolton wanderers wigan athletic loan,Positive
139,"indo trains mentally, how come mentally trains fan 2011 2012",Positive
140,ole pull far sancho rejected reguillon chose spurs van beek first choice was madrid thiago prefe,Negative
141,rescheduled big girls don cry originally due come liverpool may 2020 and then rescheduled,Negative
142,onthisday 2016 scored this goal liverpool beat chelsea stamford bridge,Neutral
143,opens its doors may 2021 liverpool now its 40th year ukifdaexpo organised,Neutral
144,add light and colour your windows suncatcher colour paint crafts manchester,Neutral
145,liverpool fan should have few hundred followers because got millions lfc daily active users twitter retwee,Positive
146,footy kurt zouma they liverpool have great front three but also have our weapons can hurt them will great,Negative
147,one the greatest stories about this decorated liverpool side henderson growth captain very questioned when app,Positive
148,season predictions city chelsea liverpool man utd arsenal wolves tottenham leicester everto,Neutral
149,ole pull far sancho rejected reguillon chose spurs van beek first choice was madrid thiago prefe,Negative
150,footy terms pure skills don think liverpool front three can match pulisic werner and ziyech,Neutral
151,gini wijnaldum has had change heart over move barcelona and contract extension with liverpool now the,Neutral
152,footy kurt zouma they liverpool have great front three but also have our weapons can hurt them will great,Negative
153,richards that surely downplays the likes birmingham manchester liverpool leeds bristol england,Positive
